,precision,recall,f1-score,support
0,0.984,1.0,0.9919354838709677,369.0
1,0.9887640449438202,0.9777777777777777,0.9832402234636871,270.0
2,0.9964664310954063,0.9929577464788732,0.9947089947089947,284.0
3,0.8578947368421053,0.8647214854111406,0.8612945838837517,377.0
4,0.8567335243553008,0.844632768361582,0.8506401137980085,354.0
5,1.0,1.0,1.0,406.0
accuracy,0.9446601941747573,0.9446601941747573,0.9446601941747573,0.9446601941747573
macro avg,0.9473097895394388,0.9466816296715622,0.9469698999542349,2060.0
weighted avg,0.9445479329986297,0.9446601941747573,0.9445781877619449,2060.0
